search_title,job_title,relevance_score,company,location,posted,url,licensed_sponsor,sponsorship_signal,sponsorship_evidence,hiring_contact_name,hiring_contact_title
junior ai engineer,Associate AI Engineer,0.45454545454545453,"Ministry of Housing, Communities and Local Government","London, England, United Kingdom",2026-03-04,https://uk.linkedin.com/jobs/view/associate-ai-engineer-at-ministry-of-housing-communities-and-local-government-4379674202,True,yes,offer visa sponsorship,,
ai engineer,Artificial Intelligence Engineer,0.8363636363636363,Deloitte,"Greater London, England, United Kingdom",2026-03-10,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-deloitte-4362274740,True,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,Formula Recruitment,"London Area, United Kingdom",2026-02-27,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-formula-recruitment-4378762094,True,unknown,,,
artificial intelligence engineer,Artificial Intelligence Engineer,0.8363636363636363,Prolo,"London Area, United Kingdom",2026-02-23,https://uk.linkedin.com/jobs/view/artificial-intelligence-engineer-at-prolo-4374262014,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,BeyondMath,"London, England, United Kingdom",2026-03-06,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-beyondmath-4381970318,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,ASOS.com,"London, England, United Kingdom",2026-03-05,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-asos-com-4379871422,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Sanderson,"London Area, United Kingdom",2026-02-26,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-sanderson-4378337866,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Deliveroo,"London, England, United Kingdom",2026-02-25,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-deliveroo-4376757142,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Matta,"Greater London, England, United Kingdom",2026-02-21,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-matta-4376327473,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Sony Interactive Entertainment,"London, England, United Kingdom",2026-02-17,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-sony-interactive-entertainment-4351344637,True,unknown,,,
machine learning engineer,Machine Learning Engineer,0.7804878048780488,Moneyhub,"Greater London, England, United Kingdom",2026-02-10,https://uk.linkedin.com/jobs/view/machine-learning-engineer-at-moneyhub-4370679627,True,unknown,,,
junior machine learning engineer,Junior Machine Learning Engineer,0.6666666666666666,Information Tech Consultants,"London Area, United Kingdom",2026-03-09,https://uk.linkedin.com/jobs/view/junior-machine-learning-engineer-at-information-tech-consultants-4381557342,True,unknown,,,
